County,TotalPop,White,White_Percent,Black,Black_Percent,NativeAm,Native_Percent,Asian,Asian_Percent,Hawaiian,Hawaiian_Percent,Other,Other_Percent,Mix,Mix_Percent,Hispanic,Hispanic_Percent,Abbott-R,Abbott_Percent,Davis-D,Davis_Percent,Glass-L,Glass_Percent,Parmer-G,Pavitt-I,Total,Total,TurnOut%
Gillespie,24837,19472,78.3991625397592,47,0.189233804404719,68,0.349219391947412,88,0.354310101864154,11,0.0442887627330193,28,0.112735032411322,154,0.62004267826227,4969,20.0064420018521,7168,28.8601682972984,1502,6.04742923863591,155,0.624068929419817,22,1,8848,18149,48.75%
Glasscock,1226,825,67.2920065252855,15,1.22349102773246,3,0.363636363636364,1,0.0815660685154976,2,0.163132137030995,0,0,2,0.163132137030995,378,30.8319738988581,377,30.7504078303426,15,1.22349102773246,8,0.65252854812398,0,0,400,756,52.91%
Goliad,7210,4337,60.1525658807212,310,4.2995839112344,29,0.668664975789716,11,0.152565880721221,0,0,6,0.0832177531206657,55,0.762829403606103,2462,34.1470180305132,1873,25.9778085991678,873,12.1081830790569,28,0.388349514563107,11,3,2788,5522,50.49%
Gonzales,19807,8836,44.6104912404705,1353,6.83091836219518,41,0.464010864644636,73,0.368556570909275,5,0.0252436007472106,17,0.085828242540516,129,0.651284899278033,9353,47.2206795577321,2789,14.0808804967941,840,4.24092492553138,69,0.348361690311506,11,3,3712,12104,30.67%
Gray,22535,15564,69.065897492789,1055,4.68160639005991,152,0.976612695965048,83,0.368315952962059,1,0.00443754160195252,11,0.0488129576214777,304,1.34901264699357,5365,23.8074106944753,3358,14.9012646993566,302,1.34013756378966,51,0.226314621699578,14,0,3725,12997,28.66%
Grayson,120877,95103,78.6774986142939,6938,5.73971888779503,1603,1.68554093982314,1034,0.855415008645152,38,0.0314369152113305,77,0.0637011176650645,2396,1.98218023279863,13688,11.3239077740182,18103,14.9763809492294,5067,4.19186445725821,276,0.228331278903348,62,1,23509,74580,31.52%
Gregg,121730,74005,60.794381007147,24068,19.7716257290725,497,0.671576244848321,1316,1.08108108108108,35,0.0287521564117309,119,0.097757331799885,1672,1.37353158629754,20018,16.4445904871437,17210,14.1378460527397,5808,4.77121498398094,174,0.142939291875462,47,1,23240,67904,34.22%
Grimes,26604,16133,60.6412569538415,4348,16.3434070064652,82,0.508274964358768,61,0.229288828747557,7,0.0263118328070967,16,0.0601413321305067,305,1.14644414373778,5652,21.2449255751015,3716,13.9678243873102,1125,4.22868741542625,80,0.300706660652533,32,2,4955,15275,32.44%
Guadalupe,131533,72086,54.8044977306075,7963,6.05399405472391,436,0.604833116000333,1748,1.32894406726829,146,0.11099876076726,177,0.134566990793185,2088,1.58743433206876,46889,35.6480883124387,21235,16.1442375677587,8788,6.6812130796074,449,0.34135920263356,104,3,30579,84076,36.37%
Hale,36273,13647,37.6230253907865,1803,4.97063931850136,103,0.754744632519968,133,0.366663909795164,19,0.0523805585421664,32,0.088219888071017,267,0.736084691092548,20269,55.8790284784826,3703,10.208695172718,567,1.56314614175833,38,0.104761117084333,12,0,4320,19341,22.34%
